age,grade_level,book_read,book_added,score,child_number,total_session_time_in_minutes,story_read_time_in_min,qa_accuracy,story_qa_accuracy,freadom_point,commitment_taken,completed_activities,completed_packs,completed_pack_activities,bookmarked_story,news_fread_completed,total_questions,activity_qa_accuracy,news_fread_qa_accuracy,reading_qa_accuracy,freadom_points_earned,num_parental_commitment,num_interests,W_reading_time,W_wordcount,W_utility,Y_next_view_lag,Y_utility
9.0,6.0,0.0,0.0,8.0,1.0,4480.699999999998,48.86666667,54.48000000000001,40.32000000000002,162540.0,1.0,159.0,21.0,0.0,4.0,74.0,1406.0,59.539999999999985,78.38000000000004,80.0,164150.0,2.0,1.0,8.5,609.1244687082374,0.08,1.24,0.08
6.467784180199058,2.0,0.0,0.0,8.0,1.0,2921.3666670000002,239.45000000000002,81.25,100.0,11500.0,1.0,4.0,4.0,0.0,0.0,0.0,16.0,75.0,0.0,0.0,11850.0,3.0,0.0,7.5,112.83333333333333,1.5,3.6666666666666665,1.5
4.0,3.0,0.0,0.0,0.0,3.0,255.7333333,68.06666667,68.42,68.42,10250.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,10250.0,0.0,10.0,6.166666666666667,169.16666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333
8.0,5.0,0.0,0.0,0.0,1.0,226.0333333,18.51666667,64.4,57.14000000000001,19650.0,0.0,30.0,0.0,1.0,0.0,3.0,191.0,66.67,66.67,46.669999999999995,20950.0,0.0,0.0,7.5,318.6666666666667,2.0,1.0,2.0
6.467784180199059,6.0,0.0,0.0,0.0,1.0,3186.3166669999996,550.6166666999999,82.49,78.83000000000001,89340.0,1.0,110.0,6.0,9.0,2.0,59.0,811.0,82.69000000000001,83.04999999999998,90.90999999999998,90950.0,3.0,0.0,8.0,420.9111717705934,0.4,1.1,0.4
11.0,7.0,0.0,0.0,0.0,1.0,64.45,45.96666667,71.43,69.23,7550.0,0.0,1.0,0.0,0.0,2.0,0.0,35.0,100.0,0.0,50.0,7650.0,0.0,17.0,7.5,356.5,2.0,1.875,2.0
5.0,2.0,0.0,0.0,8.0,1.0,6515.083332999996,764.9166666999998,83.21999999999996,81.55000000000003,327700.0,1.0,127.0,20.0,12.0,1.0,243.0,1365.0,75.05999999999996,98.34999999999995,88.76000000000008,326710.0,3.0,3.0,6.583333333333333,189.33333333333334,0.9166666666666666,1.0,0.9166666666666666
9.0,6.0,0.0,0.0,6.0,1.0,314.5666666999999,44.233333330000015,72.40999999999998,64.10000000000001,18850.0,1.0,3.0,0.0,0.0,0.0,13.0,87.0,86.67,69.23,80.0,18850.0,3.0,0.0,7.833333333333333,516.7407811803956,0.8,1.2666666666666666,0.8
6.467784180199057,3.0,0.0,0.0,0.0,1.0,40624.51667,36.03333333,40.74,50.0,4750.0,1.0,5.0,4.0,0.0,0.0,0.0,27.0,35.29,0.0,0.0,3750.0,2.0,0.0,7.5,176.0,2.0,4.333333333333333,2.0
4.0,2.0,0.0,0.0,0.0,2.0,6805.933332999995,672.7000000000004,91.23,92.19000000000004,377950.0,1.0,126.0,20.0,0.0,294.0,242.0,1368.0,86.05000000000004,98.76000000000009,96.0,381310.0,3.0,0.0,6.583333333333333,188.5432183014713,0.5277777777777778,1.0,0.5277777777777778
